"siren","siret","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","adress_new","adresse_new_clean_reg","possibilite","insee","digit_inpi","list_digit_inpi","len_digit_address_inpi","code_postal","ville","ncc","code_commune","pays","domiciliataire_nom","domiciliataire_siren","count_initial_inpi","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source","index","origin_test","count_initial_insee","count_siren_siret","test_address_libelle","test_address_complement","test_join_address","test_date","test_1","test_siege","test_voie","test_numero","count_duplicates_final","count_duplicates_","test"
"811663079","81166307900010","4701","Agen","2015A00356","1","","Initial","2015-06-01 00:00:00.000","2015-06-01 00:00:00.000","Etablissement ouvert","PRI","","","","1679 Côte de la Moure",""," 1679 COTE DE LA MOURE ","COTE$|MOURE$","","","1679","","1","47450","Colayrac-Saint-Cirq","COLAYRAC SAINT CIRQ","47069","FRANCE","","","1","","","","AT HOME ELEC","","non","non","","2015-04-18","Électricité générale neuf et rénovation plomberie prestations de petit bricolage dites hommes toutes mains entretien parcs et jardins nettoyage de locaux","Création","","Exploitation personnelle","4701_S1_20170504_8_ets.csv","8027189","test_1_no_duplication","2","","True","False","False","True","","False","False","True","1","1",""
"811663103","81166310300018","6101","Alençon","2015D00139","1","","Initial","2015-06-02 00:00:00.000","2015-06-02 00:00:00.000","Etablissement ouvert","SEP","","","","4 rue Demées",""," 4 RUE DEMEES ","DEMEES$"," RUE","RUE","4","","1","61000","Alençon","ALENCON","61001","FRANCE","","","1","","","","","","non","non","","2015-05-26","Acquisition, propriété, administration et exploitation par bail, location ou autrement de tous immeubles.","Création","","Exploitation directe","6101_S1_20170504_8_ets.csv","8027190","test_1_no_duplication","1","1.0","True","False","False","True","","True","True","True","1","1",""
"811663178","81166317800028","8401","Avignon","2017A00186","1","","Initial","2017-02-23 00:00:00.000","2017-02-23 00:00:00.000","Etablissement ouvert","PRI","","","","Quartier les Daumas",""," QUARTIER LES DAUMAS ","DAUMAS$"," QUARTIER","QUA","","","0","84220","Gordes","GORDES","84050","FRANCE","","","1","","","","LA BIQUETTE AU MIEL","","non","non","","2017-03-21","Vente ambulante de produits alimentaires non réglementés","Création","","Exploitation personnelle","8401_S1_20170504_8_ets.csv","8027191","test_1_no_duplication","2","","True","False","False","True","","False","True","False","1","1",""
"811663194","81166319400017","4901","Angers","2015D00393","1","","Initial","2015-12-11 00:00:00.000","2015-12-11 00:00:00.000","Etablissement ouvert","SEP","","","","11 rue du Charolais",""," 11 RUE DU CHAROLAIS ","CHAROLAIS$"," RUE","RUE","11","","1","49300","Cholet","CHOLET","49099","FRANCE","","","1","","","","","","non","non","","2015-05-28","L'acquisition la gestion et plus généralement l'exploitation par bail ou autrement des biens et droits sociaux immobiliers à quelque endroit qu'ils se trouvent situés, ainsi que la mise à disposition à titre gratuit au profit des associés de ces mêmes biens","Création","","Exploitation directe","4901_S1_20170504_8_ets.csv","8027192","test_1_no_duplication","1","1.0","True","False","False","True","","True","True","True","1","1",""
"811663210","81166321000011","9201","Nanterre","2015D00949","1","","Initial","2015-06-01 00:00:00.000","2015-06-01 00:00:00.000","Etablissement ouvert","SIE","","","101 Rue DU DOME","","","101 RUE DU DOME  ","DOME$"," RUE","RUE","101","","1","92100","Boulogne-Billancourt","BOULOGNE BILLANCOURT","92012","FRANCE","","","2","","","","","","","","","","","","","","9201_S1_20170504_8_ets.csv","8027193","test_1_no_duplication","1","2.0","True","False","False","True","","True","True","True","1","1",""
"811663210","81166321000011","9201","Nanterre","2015D00949","2","","Initial","2015-06-01 00:00:00.000","2015-06-01 00:00:00.000","Etablissement ouvert","PRI","","","101 Rue DU DOME","","","101 RUE DU DOME  ","DOME$"," RUE","RUE","101","","1","92100","Boulogne-Billancourt","BOULOGNE BILLANCOURT","92012","FRANCE","","","2","","","","","","non","non","","2015-03-01","Administration, gestion, acquisition, prise à bail de tous biens immobiliers","Création","","","9201_S1_20170504_8_ets.csv","8027194","test_1_no_duplication","1","2.0","True","False","False","True","","False","True","True","1","1",""
"811663228","81166322800013","6901","Lyon","2015B03070","1","","Initial","2015-06-02 00:00:00.000","2015-06-02 00:00:00.000","Etablissement ouvert","SIE","","","","59 Chemin du Moulin Carron",""," 59 CHEMIN DU MOULIN CARRON ","MOULIN$|CARRON$"," CHEMIN","CHE","59","","1","69570","Dardilly","DARDILLY","69072","France","ESPACE FLORENTIN","380075838.0","2","Lyon","","","","","","","","","","","","","6901_S1_20170504_8_ets.csv","8027195","test_1_no_duplication","1","2.0","True","False","False","True","","True","True","True","1","1",""
"811663228","81166322800013","6901","Lyon","2015B03070","2","","Initial","2015-06-02 00:00:00.000","2015-06-02 00:00:00.000","Etablissement ouvert","PRI","","","","59 Chemin du Moulin Carron",""," 59 CHEMIN DU MOULIN CARRON ","MOULIN$|CARRON$"," CHEMIN","CHE","59","","1","69570","Dardilly","DARDILLY","69072","France","","","2","","","","","","non","non","","2015-06-01","Plâtrerie, peinture, travaux d'isolation, travaux finitions du bâtiment.","Création","","Exploitation directe","6901_S1_20170504_8_ets.csv","8027196","test_1_no_duplication","1","2.0","True","False","False","True","","False","True","True","1","1",""
"811663236","81166323600016","3801","Grenoble","2015D00424","1","","Initial","2015-05-29 00:00:00.000","2015-05-29 00:00:00.000","Etablissement ouvert","SIE","","","","4 Avenue Doyen Louis Weil",""," 4 AVENUE DOYEN LOUIS WEIL ","DOYEN$|LOUIS$|WEIL$"," AVENUE","AV","4","","1","38000","Grenoble","GRENOBLE","38185","France","","","2","","","","","","","","","","","","","","3801_S1_20170504_8_ets.csv","8027197","test_1_no_duplication","1","2.0","True","False","False","True","","True","True","True","1","1",""
"811663236","81166323600016","3801","Grenoble","2015D00424","2","","Initial","2015-05-29 00:00:00.000","2015-05-29 00:00:00.000","Etablissement ouvert","PRI","","","","4 Avenue Doyen Louis Weil",""," 4 AVENUE DOYEN LOUIS WEIL ","DOYEN$|LOUIS$|WEIL$"," AVENUE","AV","4","","1","38000","Grenoble","GRENOBLE","38185","France","","","2","","","","","","non","non","","2015-05-18","Achat d'immeubles ou de terrains, constructions d'immeubles en vue de la location, location et gestion des dits immeubles.","Création","","Exploitation directe","3801_S1_20170504_8_ets.csv","8027198","test_1_no_duplication","1","2.0","True","False","False","True","","False","True","True","1","1",""
