"siren","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","code_postal","ville","code_commune","pays","domiciliataire_nom","domiciliataire_siren","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source"
"752993808","7501","Paris","2012B15746","1","","Initial","2017-04-21 00:00:00.000","2017-04-21 00:00:00.000","Etablissement ouvert","SIE","","","8 rue Christophe Colomb","","","75008","Paris","75108","France","","","","","","","","non","non","non","","L'activité exercée dans cet établissement est identique aux principales activités de l'entreprise","","","Divers","7501_S1_20170504_8_ets.csv"
"444802870","4202","Saint-Étienne","2003D00014","10","","Initial","2007-12-10 00:00:00.000","2007-12-10 00:00:00.000","Etablissement ouvert","PRI","","","111 Rue Pétin Gaudet"," Gaulle","","42400","Saint-Chamond","42207","FRANCE","","","","","","","","non","non","non","2007-08-31","acquisition mise en valeur transformation aménagément administration location gestion de tous biens et droit immobiliers.","Transfert"," -  - ","Exploitation directe","4202_S1_20170504_8_ets.csv"
"487927105","5902","Dunkerque","2008B40130","1","","EVT","2019-12-24 00:00:00.000","2019-12-25 09:14:59.000","Modifications relatives à un établissement","SIE","","","","240 Allée de Strasbourg","","59270","Bailleul","59043","France","","","","","","","","","","","","","","","","5902_680_20191225_091459_9_ets_nouveau_modifie_EVT.csv"
"330229907","1704","La Rochelle","1984D00037","1","IGNORE","Initial","2004-12-21 00:00:00.000","2004-12-21 00:00:00.000","Etablissement ouvert","PRI","","","","55 RUE DE VERSAILLES, ""LA LOGE""","","17230","CHARRON","17091","FRANCE","","","","","","","","non","non","non","1984-07-12","L'EXPLOITATION DES BIENS AGRICOLES APPORTES PAR LES ASSOCIES, ACHETES OU PRIS A BAIL ET GENERALEMENT TOUTES ACTIVITES SE RATTACHANT A CET OBJET","Création","","Exploitation directe","1704_S1_20170504_8_ets.csv"
"807953203","9401","Créteil","2014B05163","2","","Initial","2014-11-26 00:00:00.000","2014-11-26 00:00:00.000","Etablissement ouvert","PRI","","","61-63 Grande Rue Charles De Gaulle","","","94130","Nogent-sur-Marne","94052","FRANCE","","","","","","","","non","non","non","2014-11-01","Restauration rapide : Sandwiches, salades, gâteaux et boissons sur place et à emporter.","Création","","Exploitation directe","9401_S1_20170504_8_ets.csv"
"844112631","7501","Paris","2018B28735","1","","NEW","2018-11-27 20:53:42.000","2018-11-23 00:00:00.000","Etablissement ouvert","SIE","","","64 rue du Dessous des Berges","","","75013","Paris","75113","France","","","","","","","","","","","","Prise de participation au sein de sociétés ayant l'objet social suivant l'acquisition de terrains ainsi que l'activité de construction, en sous-traitance.","","","Divers","7501_358_20181127_205342_8_ets.csv"
"850871724","3102","Toulouse","2019D00948","1","","NEW","2019-05-18 08:54:43.000","2019-05-17 00:00:00.000","Etablissement ouvert","SIE","","","","40 Route de Toulouse","","31620","Fronton","31202","France","","","","","","","","","","","","","","","","3102_524_20190518_085443_8_ets.csv"
"398471565","2901","Brest","2013B00006","3","","EVT","2018-08-01 00:00:00.000","2018-08-04 06:30:02.000","Etablissement ouvert","SEC","France","Montpellier","","143 rue Amiral Romain Desfossés","","29850","Gouesnou","29061","FRANCE","","","","","","","","non","non","non","2018-03-01","Equipement de la personne. Puériculture.","Création","","Exploitation directe","2901_317_20180804_063002_9_ets_nouveau_modifie_EVT.csv"
"821152667","7803","Versailles","2016B03002","2","","Initial","2016-06-28 00:00:00.000","2016-06-28 00:00:00.000","Etablissement ouvert","PRI","","","6  Bis Rue de la Paroisse","","","78000","Versailles","78646","FRANCE","","","","","","","","non","non","non","2016-06-02","travaux de peinture carrelage revêtement de sol et petit maçonnerie","Création","","Exploitation directe","7803_S1_20170504_8_ets.csv"
"843081548","6202","Boulogne-sur-Mer","2018A00653","1","","NEW","2018-10-23 09:05:50.000","2018-10-22 00:00:00.000","Etablissement ouvert","PRI","","","","84 rue du Vieux Moulin","","62176","Camiers","62201","FRANCE","","","","","","","L'ATELIER DE CRINKAYETTE","non","non","non","2018-11-02","Vente d'objets de décoration, fabrication, vente de bougies, bijoux fantaisie et articles de décoration, en sédentaire et non sédentaire.","Création","","Exploitation directe","6202_381_20181023_090550_8_ets.csv"
"523456028","4901","Angers","2010D00449","1","","Initial","2010-06-29 00:00:00.000","2010-06-29 00:00:00.000","Etablissement ouvert","SEP","","","","5 rue Toussaint","","49000","Angers","49007","FRANCE","","","","","","","","non","non","non","2010-06-29","Acquisition, gestion, exploitation par bail, location de tous biens ou droits immobiliers","Création","","Exploitation directe","4901_S1_20170504_8_ets.csv"
"500585971","7301","Chambery","2007D00289","10","","Initial","2014-06-23 00:00:00.000","2014-06-23 00:00:00.000","Etablissement ouvert","PRI","","","519 Route de Lachat","","","73800","Les Marches","73151","FRANCE","","","","","","","","non","non","non","2013-12-27","Acquisition, détention, administration et gestion par location ou autrement de tous immeubles et biens immobiliers.","Création","","","7301_S1_20170504_8_ets.csv"
"397612813","901","Foix","1994D00067","1","IGNORE","Initial","2008-10-09 00:00:00.000","2008-10-09 00:00:00.000","Etablissement ouvert","SIE","","","","BECQ","","09000","Ganac","09130","France","","","","","","","","","","","","","","","","0901_S1_20170504_8_ets.csv"
"533873162","601","Antibes","2011B00895","1","","Initial","2011-08-04 00:00:00.000","2011-08-04 00:00:00.000","Etablissement ouvert","SEP","","","","36 avenue de la Valmasque","Chez Mr Sabbagh Robert","06600","Antibes","06004","FRANCE","","","","","","","","non","non","non","2011-08-01","Importation et distribution en gros de lunettes de lecture lunettes de soleil présentoirs et tout autre accessoire","Création","","Exploitation directe","0601_S1_20170504_8_ets.csv"
"402472591","3501","Rennes","1995B00847","10","IGNORE","Partiel","2019-05-06 00:00:00.000","2017-07-18 00:00:00.000","Etablissement ouvert","PRI","","","14 Rue Dupont des Loges","","","35000","Rennes","35238","FRANCE","","","","","","","","non","non","non","1995-09-30","jeux de simulation (commerce de détail de) (début : 30.09.1995)","Création","","Exploitation directe","3501_S2_20190506_8_ets.csv"
"388110108","7501","Paris","1992B09098","4","","Initial","2016-07-07 00:00:00.000","2016-07-07 00:00:00.000","Etablissement ouvert","PRI","","","115 rue de l'Abbé Groult","","","75015","Paris","75115","France","ABC+","399439835","","","","","","non","non","non","1992-05-25","ACHATS, VENTES, DISTRIBUTION, REPRESENTATION, IMPORT, EXPORT DE TOUT MATERIEL A BASE DE TECHNOLOGIE AVANCEE PRESTATIONS DE SERVICES, MAINTENANCE","Création","","Exploitation directe","7501_S1_20170504_8_ets.csv"
"381358118","4001","Dax","1991D00047","0","","Initial","1999-06-09 00:00:00.000","1999-06-09 00:00:00.000","Etablissement ouvert","SIE","","","","423 avenue du Touring Club de France","","40150","Soorts-Hossegor","40304","FRANCE","","","","","","","","","","","","","","","","4001_S1_20170504_8_ets.csv"
"841035199","8801","Epinal","2018A00498","1","","NEW","2018-07-17 05:41:53.000","2018-07-12 00:00:00.000","Etablissement ouvert","PRI","","","","9 rue Carnot","","88400","Gérardmer","88196","FRANCE","","","","","","","LES GOURMANDISES A JUJU","non","non","non","2018-08-04","Commerce de détail de fruits et légumes sur marche, vente de marrons, gaufres, soupe et jus de fruits pressés","Création","","Exploitation personnelle","8801_330_20180717_054153_8_ets.csv"
"335012027","8801","Epinal","1986A50060","1","","Initial","2009-01-01 00:00:00.000","2009-01-01 00:00:00.000","Etablissement ouvert","PRI","","","","26 LES AUVERNELLES","","88230","PLAINFAING","88349","FRANCE","","","","","","","","non","non","non","1986-03-15","BUCHERONNAGE","Création","","Exploitation personnelle","8801_S1_20170504_8_ets.csv"
"828755579","7701","Meaux","2017B00825","1","","Initial","2017-04-05 00:00:00.000","2017-04-05 00:00:00.000","Etablissement ouvert","SEP","","","Appartement 232 - 23 Residence Beau Site Bâtiment Hortensias","","","77400","Lagny Sur Marne","77243","France","","","","","","","","non","non","non","2017-03-30","Prestations de formations, apport d'affaires, prise de mandat social dans des sociétés, prise de participations dans des sociétés, plus généralement, toutes opérations, de quelque nature qu'elles soient, juridiques, économiques et financières, civiles et commerciales, se rattachant à l'objet sus indiqué ou à tous autres objets similaires ou connexes, de nature à favoriser, directement ou indirectement, le but poursuivi par la société, son extension ou son développement","Création","","Exploitation directe","7701_S1_20170504_8_ets.csv"
"814921987","6001","Beauvais","2015D00327","1","","Initial","2015-12-01 00:00:00.000","2015-12-01 00:00:00.000","Etablissement ouvert","SEP","","","302 rue Aristide Briand","","","60250","Angy","60015","France","","","","","","","","non","non","non","2015-11-26","Acquisition d'immeuble, administration et exploitation par bail, location ou autrement dudit immeuble.","Création","","Exploitation directe","6001_S1_20170504_8_ets.csv"
"515325017","7802","Pontoise","2011B00952","2","","Initial","2017-01-16 00:00:00.000","2017-01-16 00:00:00.000","Etablissement ouvert","PRI","","","66 Rue des Vallées","","","95450","Seraincourt","95592","FRANCE","","","","","","","","non","non","non","2009-07-01","Edition et intégration de système de gestion informatisé.","Création","","Exploitation directe","7802_S1_20170504_8_ets.csv"
"441221421","7106","Mâcon","2002B00073","4","IGNORE","Initial","2015-10-20 00:00:00.000","2015-10-20 00:00:00.000","Etablissement ouvert","SIE","","","","Zone d'Activité Commerciale des Bouchardes","","71680","Crêches-sur-Saône","71150","France","","","","","","","","","","","","","","","","7106_S1_20170504_8_ets.csv"
"843247453","1203","Rodez","2018D00324","2","","NEW","2018-10-27 12:33:37.000","2018-10-19 00:00:00.000","Etablissement ouvert","SEP","","","","14 avenue de Bordeaux","","12000","Rodez","12202","FRANCE","","","","","","","","non","non","non","2018-10-01","Location de terrains et d'autres biens immobiliers","Création","","Exploitation directe","1203_383_20181027_123337_8_ets.csv"
"450126347","9201","Nanterre","2003D01572","2","","Initial","2015-10-30 00:00:00.000","2015-10-30 00:00:00.000","Etablissement ouvert","PRI","","","52 Rue PERTHUIS","","","92140","Clamart","92023","FRANCE","","","","","","","","non","non","non","2003-09-05","L' acquisition par voie d' apport ou autrement d' immeubles et notamment un bien immeuble sis à Chatenay Malabry(92) , 2 bis impasse Pierre Dupont, dont la jouissance sera réservée gratuitement à titre de résidence principale à certains associés.","Création","","Exploitation directe","9201_S1_20170504_8_ets.csv"
"403535420","5602","Vannes","1996A00034","1","","Initial","1996-02-02 00:00:00.000","1996-02-02 00:00:00.000","Etablissement ouvert","PRI","","","","13 rue de l'Oust","","56220","Peillac","56154","FRANCE","","","","","","","","non","non","non","1996-02-01","Vente non sédentaire de volailles démarrées","Création","","Exploitation personnelle","5602_S1_20170504_8_ets.csv"
